Prodn Code,Part Name,Finish L,Finish B,Finish T,Order Quantity,Part Code,Barcode 1,Barcode 2,Part Material,Surface Top,Surface Bottom,EB Thickness,Edge Bottom,Edge Right,Edge Top,Edge Left,Grain,Grain Desc,Grain Prodn,Cutting L,Cutting B,Cutting T,Grain Path,Drill Info,Carcass or Shutter,Vendor Name,Multi Part ID,Annotation,Order Name,Sales Order,SKU Code,Order Start Date,Order Due Date,Customer Name,Handle Type,Vendor HW,Room,Part Count,Shutter Design,Store Name,Handle Side,Batch Number,Weight,Routing Number,Laying Number,Carton Number,Part Count per carton,Type of Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,LEFT SIDE PANEL,720,560,18,1,REG2297990000001,001127800352810000001A,001127800352810000001B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,720,560,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,1,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,RIGHT SIDE PANEL,720,560,18,1,REG2297990000002,001127800352810000002A,001127800352810000002B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,720,560,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,2,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,BOTTOM PANEL,564,554,18,1,REG2297990000003,001127800352810000003A,001127800352810000003B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,564,554,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,3,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,TOP,564,554,18,1,REG2297990000004,001127800352810000004A,001127800352810000004B,18MM-HDHMR-PLAIN,WOODY TAN,WOODY TAN,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,564,554,18,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,4,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MBSDDXXXXXMDDIDXXXXXXX-07200600180560,BACK PANEL,701,581,5.5,1,REG2297990000005,001127800352810000005A,001127800352810000005B,5.5MM-HDHMR-OSR-KINGSTONE WHITE,WOODY TAN,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE OPEN UNIT WITH 2 WICKER BASKET,7.20E+12,701,581,5.5,-,SWKTBS5033,CARCASS,ASSEMBLE,5,B01,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,5,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MFLCAXXXXXXXXXXXXXXXXX-07200100180018,FILLER,720,100,18,1,REG2297990000006,001127800352810000006A,001127800352810000006B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE FILLER IN FRONT FINISH,7.20E+12,720,100,18,-,-,SHUTTER,ASSEMBLE,1,B02 ,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,6,PLAIN,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MFLCAXXXXXXXXXXXXXXXXX-07200100180018,FILLER,720,100,18,1,REG2297990000007,001127800352810000007A,001127800352810000007B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE FILLER IN FRONT FINISH,7.20E+12,720,100,18,-,-,SHUTTER,ASSEMBLE,1,B03 ,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,7,PLAIN,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
MFLCAXXXXXXXXXXXXXXXXX-07200100180018,FILLER,720,100,18,1,REG2297990000008,001127800352810000008A,001127800352810000008B,18MM-HDHMR-OSR-KINGSTON WHITE,PT-INDIGO,KINGSTON WHITE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,MBL EDGE,1,BASE FILLER IN FRONT FINISH,7.20E+12,720,100,18,-,-,SHUTTER,ASSEMBLE,1,B11,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,8,PLAIN,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,LEFT SIDE PANEL,1960,560,18,1,REG2297990000009,001127800352810000009A,001127800352810000009B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1960,560,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,9,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
D2628D28HMNXXXXXAIXXXXX-19600900180560,RIGHT SIDE PANEL,1960,560,18,1,REG2297990000010,001127800352810000010A,001127800352810000010B,18MM-HDHMR-BSL-KINGSTON WHITE,KINGSTON WHITE,KINGSTON WHITE,1.5 & 0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,1.5 MATCHING EDGEBAND,0.8 MATCHING EDGEBAND,-,SPECIAL L SHAPE CORNER 5 SHELF TALL UNIT- LHS & RHS 900X560X1960 IN PT-INDIGO AS PER DRAWING,1.96E+13,1960,560,18,-,SWKTTA7747,CARCASS,ASSEMBLE,15,B04,0011278 - 0035281,REG229799,-,01-01-1970,01-01-1970,MAJESTIC NIFTY CONSTRUCTION AND INTERIORS LLP,-,-,-,10,-,ML KOLKATTA,-,ML KIT B00176,0,R01,-,-,0,Carton Packing
